system:index,class_name,label,lat,lon,run_tag,sample_id,season,tile_id,unique_id,weight,.geo,NDVI_AUC,NDVI_drop,NDVI_peak,NDVI_slopeEarly,NDWI_AUC,NDWI_drop,NDWI_peak,GNDVI_AUC,GNDVI_drop,SAVI_AUC,MSAVI2_AUC,h_NDVI_drop,h_NDWI_drop,h_AUC_z,h_NDVI_AUC_cur
0_1_91,healthy,0,30.714028384745323,75.43144457598781,rabi_2023_24,0_1_91,2023-11-01_to_2024-04-15,0,sample_0_1_91,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",98.41815,0.0011011362,0.88181555,0.016198505,44.418385,0.0087111,0.54278964,89.62274,0.007895708,147.60785,114.069984,0.0011011362,0.0087111,1.682525,98.41815
0_1_95,healthy,0,30.59473211501425,75.40072219327092,rabi_2023_24,0_1_95,2023-11-01_to_2024-04-15,0,sample_0_1_95,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",99.00782,0.0,0.87281066,0.011923205,38.35628,0.0,0.48389918,94.37864,0.0,148.49364,116.75966,0.0,0.0,-1.1513774,99.00782
0_1_97,healthy,0,30.647732716777305,75.50798103819479,rabi_2023_24,0_1_97,2023-11-01_to_2024-04-15,0,sample_0_1_97,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",76.523094,0.025018454,0.75016034,-9999.0,33.248,0.0,0.45959312,76.640594,0.0017716885,114.7719,95.10657,0.025018454,0.0,1.3150847,76.523094
0_1_100,healthy,0,30.66408205494828,75.52558801776354,rabi_2023_24,0_1_100,2023-11-01_to_2024-04-15,0,sample_0_1_100,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",108.73696,0.00035363436,0.8851003,0.010858206,53.059998,0.018185794,0.5677476,98.6827,0.009264886,163.0868,123.36805,0.00035363436,0.018185794,1.8822285,108.73696
0_1_101,healthy,0,30.68294667591479,75.50600474456972,rabi_2023_24,0_1_101,2023-11-01_to_2024-04-15,0,sample_0_1_101,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",104.08811,0.008520126,0.8908973,0.010778659,50.234856,0.0028364658,0.54459846,96.46501,0.0,156.11275,120.24045,0.008520126,0.0028364658,1.1521734,104.08811
0_1_103,healthy,0,30.661207446039096,75.48103157967121,rabi_2023_24,0_1_103,2023-11-01_to_2024-04-15,0,sample_0_1_103,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",98.47752,0.0,0.8619703,0.01686378,37.648636,0.0055835545,0.4993947,91.77745,0.0015309453,147.69566,115.73671,0.0,0.0055835545,1.3368429,98.47752
0_1_104,healthy,0,30.714028384745323,75.55379511768488,rabi_2023_24,0_1_104,2023-11-01_to_2024-04-15,0,sample_0_1_104,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",101.26489,0.0017950535,0.88208413,0.007997455,48.397816,0.0,0.552447,91.90293,0.0,151.87842,116.62723,0.0017950535,0.0,2.8987508,101.26489
0_1_106,healthy,0,30.66695666385746,75.41168163973718,rabi_2023_24,0_1_106,2023-11-01_to_2024-04-15,0,sample_0_1_106,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",100.867355,0.0042128563,0.8873148,0.013633051,42.412952,0.0,0.51617134,93.68046,0.0,151.27997,116.85704,0.0042128563,0.0,1.4513185,100.867355
0_1_107,healthy,0,30.672166892505352,75.6305112429487,rabi_2023_24,0_1_107,2023-11-01_to_2024-04-15,0,sample_0_1_107,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",93.98775,0.0,0.89177966,0.024685252,41.89128,0.011475086,0.5652658,91.63869,0.002554059,140.96658,109.9739,0.0,0.011475086,0.13105094,93.98775
0_1_110,healthy,0,30.705404558017776,75.66931846322265,rabi_2023_24,0_1_110,2023-11-01_to_2024-04-15,0,sample_0_1_110,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",100.716736,0.0,0.90495825,0.024192551,43.113026,0.0021830797,0.5508529,96.20294,0.0031065345,151.05801,115.9191,0.0,0.0021830797,1.9321216,100.716736
